,name,auc,sens,spec,f1
0,log_reg_cv_fe5,0.7132707170831455,0.63338,0.66667,0.74627
1,log_reg_cv,0.7129934495546391,0.6304,0.66667,0.74406
2,log_reg_cv_fe6,0.7119883547638028,0.64083,0.70543,0.75505
3,log_reg_cv_fe3,0.7118150625584861,0.63934,0.70543,0.75395
4,log_reg_cv_fe7,0.7116417703531694,0.63487,0.65116,0.74606
5,log_reg_cv_fe4,0.7111912106193463,0.63785,0.66667,0.74956
6,log_reg_cv_fe2,0.7082914543837151,0.61848,0.65116,0.73386
7,log_reg_cv_fe1,0.6843424716089603,0.53353,0.68217,0.66916
8,log_reg_cv_fe8,0.6768678011529708,0.55589,0.67442,0.68692
9,Baseline,0.5,1.0,0.0,0.90926
